rank,candidate_label,candidate_metadata,mechanism_type,bar_type,dtw_distance,smoothness_loss,mean_speed,peak_speed,speed_variation,jerk_rms,normalized_curve_loss,normalized_smoothness_loss,selection_score,coords_string,mechanism_params
1,"length=0.750, theta=90.0°","{'mode': 'crank-length', 'length': 0.75, 'angle': 90.0, 'sampled_point': (4.5924253663221344e-17, 0.75), 'mechanism_type_prefix': 'Steph1T1'}",Steph1T1,6bar,61.21591283479773,0.04104450800409124,0.007813583830304926,0.013297120150451492,0.17995352402697792,0.00016768006504625006,0.0,0.023390171913143246,0.003508525786971487,_0.000_0.000_0.050_0.750_1.000_0.000_0.550_-0.550_1.550_0.550_0.450_0.250_0.550_1.050_1.750_-0.450_Steph1T1,"[[0.0, 0.0], [0.05000000000000071, 0.75], [1.0, 0.0], [0.5500000000000007, -0.5499999999999989], [1.5500000000000007, 0.5500000000000007], [0.45000000000000107, 0.25], [0.5500000000000007, 1.0500000000000007], [1.75, -0.4499999999999993]]"
2,"length=0.500, theta=0.0°","{'mode': 'crank-length', 'length': 0.5, 'angle': 0.0, 'sampled_point': (0.5, 0.0), 'mechanism_type_prefix': 'Steph1T1'}",Steph1T1,6bar,61.55546729761804,0.11854264776963794,0.014258006915713772,0.04581005156981898,0.5223076800383003,0.002138997910999797,0.000689119460548927,0.2003630038543604,0.03064020211962065,_0.000_0.000_0.550_0.050_1.000_0.000_1.450_-0.550_0.550_0.750_0.550_-0.550_0.550_0.250_1.750_-0.550_Steph1T1,"[[0.0, 0.0], [0.5500000000000007, 0.05000000000000071], [1.0, 0.0], [1.450000000000001, -0.5499999999999989], [0.5500000000000007, 0.75], [0.5500000000000007, -0.5499999999999989], [0.5500000000000007, 0.25], [1.75, -0.5499999999999989]]"
3,"length=0.500, theta=90.0°","{'mode': 'crank-length', 'length': 0.5, 'angle': 90.0, 'sampled_point': (3.0616171314629196e-17, 0.5), 'mechanism_type_prefix': 'Steph1T1'}",Steph1T1,6bar,79.26460163097686,0.05105316271070985,0.007668422000922179,0.010797183380696036,0.23295646097500206,6.357464311940873e-06,0.03662947788561502,0.04624568783534007,0.038071909378073775,_0.000_0.000_0.050_0.550_1.000_0.000_0.550_-0.550_1.450_0.350_0.550_0.250_0.550_-0.550_1.750_-0.550_Steph1T1,"[[0.0, 0.0], [0.05000000000000071, 0.5500000000000007], [1.0, 0.0], [0.5500000000000007, -0.5499999999999989], [1.450000000000001, 0.3500000000000014], [0.5500000000000007, 0.25], [0.5500000000000007, -0.5499999999999989], [1.75, -0.5499999999999989]]"
4,"length=1.000, theta=90.0°","{'mode': 'crank-length', 'length': 1.0, 'angle': 90.0, 'sampled_point': (6.123234262925839e-17, 1.0), 'mechanism_type_prefix': 'Steph1T1'}",Steph1T1,6bar,104.27646735983478,0.048560392990230884,0.007006929107411025,0.00980969800365492,0.2220876060892232,0.0002628447981064778,0.08739059371731606,0.040553260660377066,0.0803649937587752,_0.000_0.000_0.050_1.050_1.000_0.000_0.550_-0.450_1.450_0.550_0.450_0.350_1.450_-0.250_1.750_1.050_Steph1T1,"[[0.0, 0.0], [0.05000000000000071, 1.0500000000000007], [1.0, 0.0], [0.5500000000000007, -0.4499999999999993], [1.450000000000001, 0.5500000000000007], [0.45000000000000107, 0.3500000000000014], [1.450000000000001, -0.25], [1.75, 1.0500000000000007]]"
5,"length=1.000, theta=270.0°","{'mode': 'crank-length', 'length': 1.0, 'angle': 270.0, 'sampled_point': (-1.8369701465288538e-16, -1.0), 'mechanism_type_prefix': 'Steph1T1'}",Steph1T1,6bar,255.0548751469059,0.19288316641738845,0.02869567772275048,0.1271486508813597,0.7749342660763584,0.012859599030065574,0.3933925651643477,0.3701251704414884,0.38990245595591877,_0.000_0.000_0.050_-0.950_1.000_0.000_1.450_-0.550_0.550_0.450_0.550_-0.550_0.550_-1.250_1.750_-0.550_Steph1T1,"[[0.0, 0.0], [0.05000000000000071, -0.9499999999999993], [1.0, 0.0], [1.450000000000001, -0.5499999999999989], [0.5500000000000007, 0.45000000000000107], [0.5500000000000007, -0.5499999999999989], [0.5500000000000007, -1.25], [1.75, -0.5499999999999989]]"
6,"length=0.750, theta=270.0°","{'mode': 'crank-length', 'length': 0.75, 'angle': 270.0, 'sampled_point': (-1.3777276760710893e-16, -0.75), 'mechanism_type_prefix': 'Steph1T1'}",Steph1T1,6bar,302.99100905469874,0.24257635964528135,0.032697946743878416,0.1975761433888518,0.9383061239797792,0.018635073827972023,0.4906780564665797,0.4836033153408066,0.4896168452977137,_0.000_0.000_0.050_-0.750_1.000_0.000_1.450_-0.550_0.550_0.450_0.550_-0.350_0.550_-1.050_1.750_-0.550_Steph1T1,"[[0.0, 0.0], [0.05000000000000071, -0.75], [1.0, 0.0], [1.450000000000001, -0.5499999999999989], [0.5500000000000007, 0.45000000000000107], [0.5500000000000007, -0.34999999999999964], [0.5500000000000007, -1.049999999999999], [1.75, -0.5499999999999989]]"
7,"length=0.500, theta=270.0°","{'mode': 'crank-length', 'length': 0.5, 'angle': 270.0, 'sampled_point': (-9.184850732644269e-17, -0.5), 'mechanism_type_prefix': 'Steph1T1'}",Steph1T1,6bar,484.6020940608572,0.03080172219238518,0.006981928978148359,0.008158474701768958,0.13533615755913175,2.7390155868426463e-05,0.8592543722942377,0.0,0.730366216450102,_0.000_0.000_0.050_-0.450_1.000_0.000_0.550_-1.050_1.350_-0.450_0.450_0.050_0.550_-1.050_1.650_-0.650_Steph1T1,"[[0.0, 0.0], [0.05000000000000071, -0.4499999999999993], [1.0, 0.0], [0.5500000000000007, -1.049999999999999], [1.3500000000000014, -0.4499999999999993], [0.45000000000000107, 0.05000000000000071], [0.5500000000000007, -1.049999999999999], [1.6500000000000004, -0.6500000000000004]]"
8,"length=0.500, theta=180.0°","{'mode': 'crank-length', 'length': 0.5, 'angle': 180.0, 'sampled_point': (-0.5, 6.123234262925839e-17), 'mechanism_type_prefix': 'Steph1T1'}",Steph1T1,6bar,458.40357285966513,0.46871153532849574,0.015460150773777952,0.2830243567632771,2.0234992188454712,0.009229249915375404,0.8060849612743062,1.0,0.8351722170831603,_0.000_0.000_-0.450_0.050_1.000_0.000_0.550_-0.550_0.550_0.750_0.050_-0.550_0.450_0.150_1.650_-0.550_Steph1T1,"[[0.0, 0.0], [-0.4499999999999993, 0.05000000000000071], [1.0, 0.0], [0.5500000000000007, -0.5499999999999989], [0.5500000000000007, 0.75], [0.05000000000000071, -0.5499999999999989], [0.45000000000000107, 0.15000000000000036], [1.6500000000000004, -0.5499999999999989]]"
9,"length=0.750, theta=0.0°","{'mode': 'crank-length', 'length': 0.75, 'angle': 0.0, 'sampled_point': (0.75, 0.0), 'mechanism_type_prefix': 'Steph1T1'}",Steph1T1,6bar,553.952633039787,0.08275519302867582,0.008148966691316989,0.016647732700036846,0.3847977773654322,7.133669395631216e-05,1.0,0.11863965884715748,0.8677959488270736,_0.000_0.000_0.750_0.050_1.000_0.000_0.450_-0.550_1.350_0.350_0.350_0.350_0.550_-0.550_1.750_-0.550_Steph1T1,"[[0.0, 0.0], [0.75, 0.05000000000000071], [1.0, 0.0], [0.45000000000000107, -0.5499999999999989], [1.3500000000000014, 0.3500000000000014], [0.3500000000000014, 0.3500000000000014], [0.5500000000000007, -0.5499999999999989], [1.75, -0.5499999999999989]]"
10,"length=0.750, theta=180.0°","{'mode': 'crank-length', 'length': 0.75, 'angle': 180.0, 'sampled_point': (-0.75, 9.184850732644269e-17), 'mechanism_type_prefix': 'Steph1T1'}",Steph1T1,6bar,540.2788613752306,0.23584057355894006,0.010913114058401343,0.06056343497430559,1.1003698948534613,0.0012665779195542698,0.9722493349818382,0.4682216411140916,0.8966451809016762,_0.000_0.000_-0.750_0.050_1.000_0.000_0.550_-0.650_0.050_0.750_-0.550_-0.550_0.450_0.350_1.650_-0.650_Steph1T1,"[[0.0, 0.0], [-0.75, 0.05000000000000071], [1.0, 0.0], [0.5500000000000007, -0.6500000000000004], [0.05000000000000071, 0.75], [-0.5499999999999989, -0.5499999999999989], [0.45000000000000107, 0.3500000000000014], [1.6500000000000004, -0.6500000000000004]]"
